Rank,Company Name,Webpage,Description,Location,Year end,Annual sales rise over 3 years,Sales £000s,Staff,Comments
1,Plan.com,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Communications provider,Isle of Man,Sep-17,364.38%,35418,90,"About 650 partners use its telecoms platform to support more than 100,000 UK business customers"
2,PsiOxus,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Biotechnology developer,Oxfordshire,Dec-17,311.67%,53136,54,Received a $15m milestone payment from its development partner Bristol-Myers Squibb in December
3,CensorNet,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cloud security software developer,Basingstoke,Dec-17,210.17%,7535,77,"Has more than 4,000 customers, including McDonald’s in France and the European Central Bank"
4,thoughtonomy,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Automation software developer,East London,May-18,205.20%,16916,100,It sells to 28 countries and 50% of revenue is generated from overseas
5,Perkbox,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Employee engagement services,Central London,Dec-17,204.12%,34700,200,Acquired software platform Loyalty Bay for an undisclosed sum in November
6,Ogury,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Mobile data marketing,North London,Dec-17,204.09%,33760,133,It has access to data from more than 400m mobile phone users in 120 countries
7,Verve,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Marketing software developer,Central London,Dec-17,202.15%,10747,130,"Its network of 25,000 ‘micro-influencers’ have sold half a million event tickets since 2014"
8,goHenry,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Children's pre-paid card developer,Central London,Dec-17,200.87%,6116,61,The company is named after the first child to make a transaction with one of its cards
9,Darktrace,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cybersecurity developer,Cambridge,Jun-18,195.51%,58573,694,Was reportedly valued at $1.25bn in April when Vitruvian Partners bought a small stake
10,Bizuma,https://www.fasttrack.co.uk/company_profile/brompton-technology/,B2B e-commerce platform,Central London,Mar-18,181.75%,9608,48,Originally founded as a flash sales website before changing direction in 2014
11,Depop,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Social shopping app,Central London,Dec-17,175.70%,94300,95,More than 10m people use its platform to buy and sell vintage clothing
12,Laser Wire Solutions,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Laser wire-stripping machinery,Pontypridd,Dec-17,173.41%,5114,26,Swiss technology group Schleuniger took a 20% stake in 2016
13,Bought By Many,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Specialist insurance platform,Central London,Mar-18,170.20%,19727,78,Launched its own travel insurance policy for people with severe medical conditions in December
14,Optal,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Payment services provider,Central London,Dec-17,169.29%,177653,65,Uses the Mastercard processing network to facilitate payments in 34 currencies
15,Infinox,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Currency trading platform,Central London,Mar-18,155.18%,41700,48,Provides users with an AI-generated news feed that could affect currency trades
16,Oakbrook,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Consumer finance provider,Nottingham,Dec-17,154.54%,40400,98,Uses machine learning to help estimate borrowers’ credit risk
17,Carwow,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Car sales platform,Central London,Dec-17,147.21%,15276,127,Claims its car review videos have more viewers than the hit BBC series Top Gear
18,Receipt Bank,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Book-keeping automation services,Central London,Dec-17,146.07%,11667,341,"Says 150,000 businesses in America, Europe and Australia use its book-keeping software"
19,dB Broadcast,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Broadcast technology provider,Cambridgeshire,Sep-17,143.58%,34943,50,"Its key customers include Sky, YouTube, Bloomberg and the BBC"
20,The Car Buying Group,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Car sales platform,Wakefield,Mar-18,140.89%,39140,31,Runs a free nationwide doorstep vehicle collection service
21,Festicket,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Festival booking platform,Central London,Dec-17,139.86%,35839,88,"Sells tickets and packages to more than 1,000 festivals worldwide"
22,Planixs,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Software developer,Manchester,Mar-17,133.70%,7240,67,More than £200bn worth of transactions have been analysed using its systems
23,Gigaclear,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Internet services provider,Oxfordshire,Dec-17,130.17%,7402,210,"Has connected more than 16,000 rural customers to broadband in 22 counties"
24,TransferWise,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Currency transfer provider,East London,Mar-18,129.39%,117283,1000,"Was valued at $1.6bn in November after it raised $280m, taking its funding total to $396m"
25,PatSnap,https://www.fasttrack.co.uk/company_profile/brompton-technology/,R&D data platform,West London,Dec-17,126.18%,17977,752,Has raised more than $100m from investors including Sequoia and Shunwei Capital
26,Hyperoptic,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Internet services provider,West London,Dec-17,119.90%,16572,411,Aims to provide superfast broadband to more than 2m homes by 2022
27,GoCardless,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Payment services provider,Central London,Dec-17,112.99%,11896,165,"International expansion plans include targeting Australia, New Zealand, Canada and the US"
28,Purple,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Wifi services provider,Oldham,Jan-18,112.88%,5586,93,"Its technology is used in every public airport in Spain and in a 21,000-capacity stadium in Miami"
29,Trustpay Global,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online payment provider,Guildford,Mar-18,110.45%,9796,25,The Premier Lotto in Nigeria uses the company’s platform to prevent money laundering
30,iwoca,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Business finance provider,Central London,Dec-17,109.27%,25000,200,Its 140 employees include three former Olympians
31,LADBible Group,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online entertainment community,Manchester,Dec-17,108.91%,15500,133,Claims its flagship brand reaches more than half of all millennials in the UK every month
32,Threads Styling,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online fashion services,East London,Dec-17,107.88%,12672,55,Some three-quarters of its sales are to fashionistas in the Middle East
33,Prodigy Finance,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Student finance provider,Central London,Dec-17,105.94%,10273,133,"More than 10,000 students have used its platform to fund their postgraduate studies"
34,Azimo,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online money transfers,Central London,Jun-17,103.79%,5870,115,Recently launched its international money transfer service for businesses
35,Chameleon,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Smart energy monitoring,Harrogate,Dec-17,101.10%,19890,32,About 2.5m of its energy display units have been installed in UK homes
36,SuperAwesome,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Children's privacy protection,Central London,Dec-17,97.91%,14935,130,"Last month it signed a deal with Pokémon Go, allowing parents to manage their child’s privacy settings"
37,Gousto,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Meal kit delivery services,West London,Dec-17,97.32%,23300,400,Aims to provide the ingredients for 400m meals in UK homes by 2025
38,Vizolution,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Business software developer,Swansea,Dec-17,94.99%,6965,118,Its DigiDocs software lets RBS customers complete mortgage applications digitally
39,MoveGB,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Activity membership,Bath,Dec-17,94.93%,5029,41,"Has 300,000 subscribers gaining access to more than 6,000 fitness venues"
40,BBOXX,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Solar system manufacturer,West London,Dec-17,93.35%,20416,443,Has raised almost $70m in venture funding and debt financing
41,Funding Circle,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Peer-to-peer lending platform,Central London,Dec-17,93.21%,94500,790,Is planning an IPO in London this autumn that will value it at more than £1.5bn 
42,LoopMe,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Advertising technology developer,Central London,Dec-17,93.04%,24493,91,Says its AI technology reaches 2bn devices around the world
43,Kano,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Educational computer developer,East London,Dec-17,91.81%,13000,60,Has customers in 150 countries and aims to have 100m global users by 2020
44,Capital on Tap,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Business finance provider,West London,Mar-18,88.73%,17318,56,"This company’s founders also set up Paymentsense, No 91 in the league table"
45,Hutch,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Video games developer,Central London,Sep-17,88.63%,8766 (2017),51,Its Hot Wheels Race Off game has been played in 190 countries including Antarctica and Vatican City
46,ENSEK,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Energy software developer,Nottingham,Mar-18,87.56%,6161,110,A fifth of the UK’s energy suppliers are said to use this company’s software
47,MiQ,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Digital marketing agency,Central London,Dec-17,87.36%,155876,561,"Relocated its New York base in April, tripling its office space"
48,StarLeaf,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Video conferencing platform,Watford,Dec-17,86.89%,11427,133,Its founders set up the Tech Track 100 alumnus Codian and sold it for $270m in 2007
49,BigChange,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Management software developer,Leeds,Dec-17,86.45%,6566,41,Last year its technology saved 15m sheets of paper and facilitated 9m tasks
50,The Lead Agency,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Lead generation developer,Liverpool,Dec-17,80.38%,6383,96,Works with every large automotive brand in the UK
51,UNiDAYS,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Student verification services,Nottingham,Apr-18,80.03%,27400,210,Connects brands with 10m students in 114 countries
52,Farfetch,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online fashion platform,East London,Dec-17,78.31%,299812,"2,700",Has announced plans to float in the US with a reported $5bn valuation
53,Assetz Capital,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Peer-to-peer lending platform,Manchester,Mar-18,77.91%,13700,98,"Has funded the construction of 1,800 new homes since 2013"
54,iPulse,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Hair removal technology,Swansea,Dec-17,77.12%,32874,39,Almost 95% of its hair removal devices are sold overseas
55,Giacom,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cloud services provider,Hull,Jul-17,76.14%,13883,49,"It now reaches more than 500,000 end users across the UK"
56,Arcus Global,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cloud IT developer,Cambridge,Jun-17,75.57%,9681,110,"In May it secured a £3m investment from the private equity firm YFM, valuing it at £27m"
57,disguise,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Live event technology provider,Central London,Dec-17,75.46%,17971,59,Customers include the likes of Disney and Universal Studios
58,Tech21,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Device impact protection maker,Southwest London,May-17,75.34%,121576,81,Became an inaugural member of Google’s certified accessories programme last year
59,Victor,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online private jet hire,Central London,Dec-17,74.13%,41508,113,Counts Sir Elton John among its investors
60,Cinesite,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Visual effects and animation,Central London,Apr-17,74.11%,43888,699,Is producing visual effects for Mary Poppins Returns and the Marvel franchise
61,Biosite Systems,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Workforce management software,Solihull,Jul-17,74.04%,6401,117,"More than 200,000 of the UK’s construction workers are registered on its systems"
62,Ecometrica,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Environmental reporting software,Edinburgh,Mar-18,71.67%,5496,40,Helps 250 companies on five continents to manage their environmental impacts
63,Qualasept Pharmaxo,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Pharmaceuticals manufacturer,Wiltshire,Apr-17,70.89%,152744,156,Its manufacturing facility and offices have a zero carbon footprint
64,Edesix,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Body camera manufacturer,Edinburgh,Dec-17,70.52%,5900,47,Founders Richie McBride and Robin Iddon competed on the TV show Robot Wars
65,LendInvest,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Property finance provider,Central London,Mar-18,70.13%,35617,128,Has facilitated more than £1.4bn of property loans
66,E3D Online,https://www.fasttrack.co.uk/company_profile/brompton-technology/,3D printer developer,Oxfordshire,Apr-18,69.08%,5800,41,Has grown its exports to account for 75% of its total sales
67,Lyst,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Fashion search platform,East London,Mar-18,68.34%,15300,100,"LVMH, the owner of Christian Dior and Louis Vuitton, invested an undisclosed amount in May"
68,Diaceutics,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Medtech research provider,Belfast,Dec-17,67.80%,7390,57,Works with 31 of the top 35 pharmaceutical companies in the world
69,Amplience,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Digital media technology,Central London,Jun-17,66.25%,8147,85,Helps retailers such as Argos and Mulberry to create and manage online content
70,GlucoRx,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Diabetes product manufacturer,Woking,Mar-17,65.52%,24885,26,Claims to have saved the NHS £150m in the past three years
71,Love Energy Savings,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Price comparison website,Bolton,Dec-17,64.26%,17361,183,"Has helped 145,000 UK homes and businesses save on energy costs since 2007"
72,Creative Virtual,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Chatbot developer,East London,Dec-17,63.30%,8400,99,Its trademarked chatbot can be used through Facebook Messenger and Amazon Alexa
73,Ebury,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Business finance provider,Central London,Apr-18,62.77%,47000,628,Has traded £12.5bn in foreign exchange in 140 different currencies
74,ZappiStore,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Research services provider,Central London,Dec-17,61.62%,19323,128,Holds weekly hackathons with its clients and programmers
75,Blis,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Location data technology,Central London,Dec-17,61.28%,33400,186,Analyses more than 5.5bn data points each day
76,BookingBug,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Booking systems developer,Central London,Mar-18,60.61%,6937,117,Raised nearly £10m in April from backers including PeakSpan Capital and Downing Ventures
77,Egress,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Data security provider,Central London,Dec-17,60.22%,9403,115,Users of its platform can revoke access to emails after they have reached the recipient’s inbox
78,Contis Group,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Payment services provider,North Yorkshire,Mar-17,59.56%,7161,86,Appointed the former European boss of American Express to drive sales on the continent
79,PM Connect,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Mobile content provider,Birmingham,Feb-18,59.44%,19317,35,Its clients include World Wrestling Entertainment and the NBA
80,Zopa,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Peer-to-peer lending platform,South London,Dec-17,59.43%,46500,312,About £3.5bn has been advanced through its platform
81,WorldRemit,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online money transfers,Central London,Dec-17,59.07%,61000,440,Has raised $220m since 2010 to expand its online money transfer service
82,Dianomi,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Financial content marketing,Central London,Dec-17,58.99%,12861,25,Works with eight of the top 10 global asset managers
83,Liberis,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cash advance provider,West London,Dec-17,57.99%,15150,75,Received £57.5m in funding in April from investors including Blenheim Chalcot
84,Currencycloud,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Payment services provider,East London,Dec-17,57.48%,13600,140,Has 250 clients and 2m end users across the world
85,Featurespace,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Analytics software developer,Cambridge,Dec-17,57.48%,5170,113,"Is recruiting for more than 100 positions this year, following customer demand in UK and US"
86,Cloud Technology Solutions,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cloud IT developer,Manchester,Mar-18,57.21%,21902,102,"Its software has moved nearly 12,000 companies in 20 countries onto Google Apps"
87,Leisure Pass Group,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Tourism smartcard developer,Central London,Dec-17,57.16%,225803,105,Has partnered with the booking platform Ctrip to target Chinese tourists visiting Europe
88,rradar,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Legal digital services,Hull,Dec-17,57.03%,5083,125,Uses machine learning and AI to provide legal advice to customers
89,Converge TS,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cloud services provider,Cheshire,Dec-17,55.00%,5802,38,Focused solely on the legal sector after its first three clients were all law firms
90,Kimble Applications,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Software developer,Central London,Dec-17,54.67%,9153,78,"More than half of its new business is in the US, where it has offices in Boston and Park City"
91,Paymentsense,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Payment services provider,West London,Mar-18,53.54%,72400,243,Processed more than £6.5bn of card payments last year in the UK and Ireland
92,Godel Technologies,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Software developer,Manchester,Dec-17,53.01%,13853,637,Is named after the late German mathematician Kurt Gödel
93,Secret Escapes,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online travel services,Central London,Dec-17,52.99%,73000,850,Has raised £132m from investors including Google Ventures
94,Neuven,https://www.fasttrack.co.uk/company_profile/brompton-technology/,HR software developer,Manchester,Jul-17,52.23%,130071,28,Appearing on Tech Track 100 for a fourth consecutive year
95,CitNOW,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Video software developer,Wokingham,Dec-17,51.85%,11611,71,"Has more than 8,000 installations in franchised car dealerships in 45 countries"
96,geo,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Smart energy monitoring,Cambridge,Mar-18,51.24%,29406,85,"Customers in Norway, Sweden and Luxembourg use its smart energy monitoring devices"
97,Vision RT,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Medical technology developer,North London,Jul-17,50.99%,32468,132,Has secured 60 patents and has another 46 pending
98,Thread,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online fashion services,Central London,Dec-17,50.77%,6492,60,"More than 800,000 men subscribe to its free personal styling service"
99,The Media Image,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Digital marketing agency,South London,Feb-18,50.38%,27515,37,Founded by the man who was Google UK’s first recruit when it launched its AdWords service in 2002
100,Brompton Technology,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Video technology provider,West London,Aug-17,50.17%,5250,27,Its technology is used in high-profile events such as the Oscars
